Name,CDID,Seasonal adjustment,Units,Main measure,Description,Note 1,Note 2
CPI: Weights 04.4 : Other Services Relating To The Dwelling,CJVE,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights 04.5 : Electricity, Gas and Other Fuels",CJVF,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights 05.1 : Furniture, Furnishings, Carpets and Other Floor Coverings",CJVG,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 05.2 : Household Textiles,CJVH,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 05.3 : Major Household Appliances Including Fittings and Repairs,CJVI,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights 05.4 : Glassware, Tableware and Household Utensils",CJVJ,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 05.5 : Tools and Equipment For House and Garden,CJVK,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 05.6 : Goods and Services For Routine Household Maintenance,CJVL,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.1 : Purchase Of Vehicles,CJVM,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.2 : Operation Of Personal Transport Equipment,CJVN,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.3 : Transport Services,CJVO,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 08.1 : Postal Services,CJVP,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 09.1 : Audio-Visual Photo. and Data Processing Equip,CJVQ,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 09.2 : Other Major Durables For Recreation and Culture,CJVR,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 09.3 : Other Recreational Items and Equipment Gardens and Pets,CJVS,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 09.4 : Recreational and Cultural Services,CJVT,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 11.1 : Catering,CJVU,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 11.2.0 : Accommodation Services,CJVV,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 12.1 : Personal Care,CJVW,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 12.3 : Personal Effects N.E.C.,CJVX,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 12.4 : Social Protection,CJVY,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 12.5 : Insurance,CJVZ,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 12.6 : Financial Services N.E.C.,CJWA,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 01.1.1 : Bread and Cereals,CJWB,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 01.1.2 : Meat,CJWC,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 01.1.3 : Fish,CJWD,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights 01.1.4 : Milk, Cheese and Eggs",CJWE,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 01.1.5 : Oils and Fats,CJWF,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 01.1.6 : Fruit,CJWG,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 01.1.7 : Vegetables Including Potatoes and Other Tubers,CJWH,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights 01.1.8 : Sugar, Jam, Honey, Syrups, Chocolate and Confectionery",CJWI,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 01.1.9 : Food Products,CJWJ,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights 01.2.1 : Coffee, Tea, Cocoa",CJWK,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights 01.2.2 : Mineral Waters, Soft Drinks and Juices",CJWL,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 02.1.1 : Spirits,CJWM,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 02.1.2 : Wine (Inc Perry),CJWN,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 02.1.3 : Beer,CJWO,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 02.2 : Tobacco,CJWP,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 03.1.2 : Garments,CJWR,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 03.1.3 : Other Articles Of Clothing and Clothing Accessories,CJWS,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights 03.1.4 : Dry-Cleaning, Repair and Hire Of Clothing",CJWT,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 04.3.1 : Products For The Regular Repair Of Dwelling,CJWU,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 04.3.2 : Services For The Regular Repair Of Dwelling,CJWV,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 04.4.1 : Water Supply,CJWW,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 04.4.3 : Sewerage Collection,CJWY,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 04.5.1 : Electricity,CJXA,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 04.5.2 : Gas,CJXB,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 04.5.3 : Liquid Fuels,CJXC,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 04.5.4 : Solid Fuels,CJXD,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights 05.1.1 : Furniture, Furnishings",CJXF,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 05.1.2 : Carpets and Other Floor Coverings,CJXG,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 05.3.1 : Major Household and Small Electrical Equipment,CJXI,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 05.3.3 : Repair Of Household Appliances,CJXJ,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 05.6.1 : Non-Durable Household Goods,CJXK,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 05.6.2 : Domestic Services and Home Care Services,CJXL,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.1.1A : New Cars,CJXN,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.1.1B : Second-Hand Cars,CJXO,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.1.2 : Motor Cycles and Bicycles,CJXP,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.2.1 : Spare Parts and Accessories,CJXQ,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.2.2 : Fuels and Lubricants,CJXR,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.2.3 : Maintenance and Repairs,CJXS,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.2.4 : Other Services For Personal Transport Equipment,CJXT,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.3.1 : Passenger Transport By Railway,CJXU,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.3.2 : Passenger Transport By Road,CJXV,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.3.3 : Passenger Transport By Air,CJXW,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 07.3.4 : Passenger Transport By Sea and Inland Waterway,CJXX,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 06.1.1 : Pharmaceutical Products,CJYA,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 08.2 : Telephone and Telefax Equipment and Services,CJYB,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 09.1.1 : Equipment For Sound and Pictures,CJYC,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights 09.1.2 : Photographic, Cinematographic and Optical Equip",CJYD,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 09.1.3 : Information Processing Equipment,CJYE,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 09.1.4 : Recording Media,CJYF,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 09.1.5 : Repair Of Audio-Visual Photo. and Data Processing Equip,CJYG,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 06.1.2 : Other Medical and Therapeutic Appliances,CJYH,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights 09.3.3 : Garden Plants and Flowers,CJYI,Not seasonally adjusted,Index 1996 = 100,Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
